timestamp,x,y,z
1730345659085,-1.4591085,-0.068923846,-0.17125049
1730345659086,-1.4700844,0.014811028,-0.17058137
1730345659086,-1.4767094,0.11270154,-0.17196257
1730345659086,-1.4741039,0.22167702,-0.17498404
1730345659126,-1.4698635,0.32227248,-0.17931752
1730345659126,-1.4626384,0.40059286,-0.18853363
1730345659126,-1.4570978,0.44600117,-0.18824089
1730345659127,-1.4507489,0.4842443,-0.18249674
1730345659165,-1.4418368,0.5205881,-0.1759851
1730345659165,-1.4155428,0.5494236,-0.16502647
1730345659165,-1.385165,0.56865907,-0.1469168
1730345659166,-1.3496037,0.56847644,-0.13242908
1730345659205,-1.3247478,0.5664138,-0.10742394
1730345659206,-1.3106124,0.58033484,-0.08741983
1730345659206,-1.3086468,0.6029703,-0.06950004
1730345659206,-1.316417,0.6385662,-0.06283002
1730345659245,-1.3398812,0.66344965,-0.05557751
1730345659246,-1.3701512,0.6718577,-0.049775496
1730345659246,-1.4058658,0.6709184,-0.048966706
1730345659246,-1.447613,0.67615587,-0.06341176
1730345659287,-1.4886765,0.69783336,-0.084310375
1730345659287,-1.5174549,0.71876866,-0.112527914
1730345659287,-1.5462269,0.73575646,-0.13318563
1730345659288,-1.5826596,0.7493467,-0.16288719
1730345659326,-1.6098894,0.76021886,-0.18856494
1730345659326,-1.6259239,0.7861646,-0.22803205
1730345659327,-1.6459382,0.83590734,-0.26918787
1730345659327,-1.6578771,0.89869887,-0.31720442
1730345659366,-1.6633558,0.9872608,-0.35753417
1730345659366,-1.6636664,1.073442,-0.3747061
1730345659367,-1.6413965,1.103579,-0.37502846
1730345659367,-1.6257367,1.112357,-0.35636148
1730345659408,-1.6151254,1.1117136,-0.3282525
1730345659408,-1.6104691,1.0997003,-0.3057653
1730345659408,-1.6012343,1.0690088,-0.28202623
1730345659409,-1.5998354,1.0272077,-0.24411006
1730345659448,-1.5932065,0.9746024,-0.21377712
1730345659448,-1.5919758,0.9133537,-0.18951078
1730345659448,-1.5871583,0.85860544,-0.17009771
1730345659449,-1.59097,0.81289035,-0.15456724
1730345659486,-1.5901866,0.7763183,-0.15172501
1730345659487,-1.5991421,0.74706066,-0.1607103
1730345659487,-1.6175656,0.7373092,-0.17556436
1730345659487,-1.6320648,0.74483955,-0.19104086
1730345659528,-1.6381545,0.74319804,-0.18833016
1730345659528,-1.6375164,0.72631377,-0.19191092
1730345659528,-1.6293402,0.71088994,-0.19669203
1730345659529,-1.6285485,0.7004673,-0.20051692
1730345659567,-1.6315085,0.69979495,-0.19782752
1730345659567,-1.6338764,0.7126722,-0.18801017
1730345659567,-1.6300215,0.71914107,-0.18398911
1730345659567,-1.6326869,0.7223997,-0.19035459
1730345659608,-1.6501507,0.7252462,-0.19927979
1730345659608,-1.6641217,0.7275234,-0.20258713
1730345659608,-1.6791315,0.72359586,-0.20906582
1730345659609,-1.6796407,0.7166209,-0.21041596
1730345659648,-1.6819644,0.71679026,-0.21341237
1730345659649,-1.6838233,0.7226751,-0.21580952
1730345659649,-1.6833941,0.72929937,-0.21389443
1730345659649,-1.6811343,0.7384317,-0.21811166
1730345659687,-1.6862736,0.8223952,-0.38438293
1730345659688,-1.6218722,0.8639336,-0.4170263
1730345659688,-1.6232928,0.74792147,-0.37678435
1730345659688,-1.755466,0.51832575,-0.24972689
1730345659727,-1.7754438,0.5085662,-0.13298884
1730345659727,-1.6493698,0.77960074,-0.1042783
1730345659727,-1.4435855,1.0105622,-0.13616808
1730345659727,-1.3980169,0.9258318,-0.087657414
1730345711273,-1.2839462,1.3584782,-0.20815292
1730345711274,-1.1926895,1.7045953,-0.30454934
1730345711274,-1.1196842,1.9814891,-0.38166648
1730345711274,-1.06128,2.203004,-0.4433602
1730345711274,-1.0145566,2.380216,-0.49271518
1730345711274,-0.98484373,2.5200691,-0.5264498
1730345711274,-0.9668227,2.6245255,-0.5402621
1730345711317,-0.9526454,2.6886868,-0.5455627
1730345711318,-0.9221392,2.7400155,-0.5423769
1730345711318,-0.8900685,2.784672,-0.54366106
1730345711318,-0.860579,2.8184807,-0.55019814
1730345711354,-0.8369874,2.8531933,-0.56117713
1730345711354,-0.8408719,2.8907852,-0.5737933
1730345711355,-0.87057006,2.9232545,-0.589396
1730345711355,-0.90007794,2.9396477,-0.5906191
1730345711394,-0.9200909,2.9352746,-0.5896811
1730345711394,-0.9380177,2.933932,-0.5831813
1730345711394,-0.9655347,2.944357,-0.5722322
1730345711395,-0.9801221,2.9392815,-0.5502973
1730345711435,-0.98795915,2.9333045,-0.52700007
1730345711435,-0.9733875,2.9148686,-0.49901974
1730345711436,-0.9562204,2.8960474,-0.4689696
1730345711436,-0.9309881,2.8675754,-0.446846
1730345711474,-0.9203844,2.8486307,-0.42723063
1730345711474,-0.91381794,2.8430572,-0.41153833
1730345711474,-0.90473187,2.8385983,-0.397068
1730345711474,-0.9032123,2.8254488,-0.37806565
1730345711516,-0.89049804,2.8072634,-0.35519797
1730345711517,-0.86906755,2.7905593,-0.33139405
