timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rotation_x,rotation_y,rotation_z,rotation_w
1730745223863,-0.18116367,2.877321,-9.713796,0,0,0,0,0,0,0
1730745223866,-0.28656793,2.830608,-9.667082,0,0,0,0,0,0,0
1730745223869,-0.28656793,2.830608,-9.667082,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223901,0.102709234,2.662919,-9.449087,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223903,0.102709234,2.662919,-9.449087,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223906,0.102709234,2.662919,-9.449087,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223909,0.102709234,2.662919,-9.449087,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223914,0.102709234,2.662919,-9.449087,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223916,0.102709234,2.662919,-9.449087,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223919,0.15181804,2.738379,-9.468251,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745223921,0.14103806,2.7192144,-9.534129,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224268,0.084742606,2.79707,-9.572457,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224271,0.01886493,2.8174322,-9.620369,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224273,-0.07695711,2.7695212,-9.619171,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224276,-0.12606591,2.6844792,-9.601204,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224279,-0.15361476,2.7132258,-9.619171,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224281,-0.16319692,2.7132258,-9.572457,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224284,-0.07815492,2.6736991,-9.50658,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224286,0.02605158,2.653337,-9.516162,-0.070249505,0.06994407,-0.047036625,0,0,0,0
1730745224289,0.02605158,2.653337,-9.516162,-0.3390302,0.06887506,-0.16447547,0,0,0,0
1730745224291,0.02605158,2.653337,-9.516162,-0.3390302,0.06887506,-0.16447547,0,0,0,0
1730745224293,0.02605158,2.653337,-9.516162,-0.3390302,0.06887506,-0.16447547,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224295,0.1314559,2.6521392,-9.572457,-0.3390302,0.06887506,-0.16447547,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224298,0.16858691,2.5850637,-9.638335,-0.3390302,0.06887506,-0.16447547,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224302,0.10031372,2.4892416,-9.7149935,-0.3390302,0.06887506,-0.16447547,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224305,-0.09133041,2.3574862,-9.790453,-0.3390302,0.06887506,-0.16447547,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224308,-0.09133041,2.3574862,-9.790453,-0.36819902,0.07284568,-0.17027868,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224310,-0.09133041,2.3574862,-9.790453,-0.36819902,0.07284568,-0.17027868,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224313,-0.09133041,2.3574862,-9.790453,-0.39477167,0.082924955,-0.17501289,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224315,-0.09133041,2.3574862,-9.790453,-0.39477167,0.082924955,-0.17501289,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224318,-0.09133041,2.3574862,-9.790453,-0.4202753,0.10048734,-0.17867808,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224321,-0.09133041,2.3574862,-9.790453,-0.4202753,0.10048734,-0.17867808,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224323,-0.09133041,2.3574862,-9.790453,-0.44318274,0.12156218,-0.18096884,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224326,-0.09133041,2.3574862,-9.790453,-0.44318274,0.12156218,-0.18096884,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224329,-0.09133041,2.3574862,-9.790453,-0.46120325,0.14767668,-0.18234327,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224331,-0.09133041,2.3574862,-9.790453,-0.46120325,0.14767668,-0.18234327,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224334,-0.09133041,2.3574862,-9.790453,-0.4708244,0.17730364,-0.18616119,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224336,-0.09133041,2.3574862,-9.790453,-0.4708244,0.17730364,-0.18616119,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224341,-0.09133041,2.3574862,-9.790453,-0.47311515,0.20204368,-0.19013181,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224343,-0.09133041,2.3574862,-9.790453,-0.47311515,0.20204368,-0.19013181,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224346,-0.09133041,2.3574862,-9.790453,-0.47051895,0.22174409,-0.19761491,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224348,-0.09133041,2.3574862,-9.790453,-0.47051895,0.22174409,-0.19761491,0.78369355,0.09048466,-0.016050274,-0.6143121
1730745224350,-0.09133041,2.3574862,-9.790453,-0.47051895,0.22174409,-0.19761491,0.7829833,0.08806432,-0.013024226,-0.6156398
1730745224351,-0.09133041,2.3574862,-9.790453,-0.47051895,0.22174409,-0.19761491,0.7822568,0.08541509,-0.009460517,-0.6170001
1730745224353,-0.09133041,2.3574862,-9.790453,-0.47051895,0.22174409,-0.19761491,0.7815188,0.08275236,-0.0052773003,-0.6183467
1730745224355,-0.09133041,2.3574862,-9.790453,-0.47051895,0.22174409,-0.19761491,0.78071994,0.080310695,-0.0006083367,-0.61969864
1730745224357,-0.32968783,2.321553,-9.771289,-0.47051895,0.22174409,-0.19761491,0.78071994,0.080310695,-0.0006083367,-0.61969864
